student_id,first_name,last_name,email,phone,date_of_birth,gender,nationality,home_country,home_city,native_language,current_gpa,previous_education_level,field_of_study,institution_type,standardized_test_score,academic_achievements,research_experience,family_income_bracket,financial_aid_needed,tuition_budget,living_expense_budget,has_scholarship,financial_support_source,intended_career_field,career_importance_score,job_market_priority,entrepreneurship_interest,research_interest,industry_preference,preferred_destinations,language_barrier_concern,cultural_adaptation_confidence,visa_processing_importance,post_study_work_priority,permanent_residence_interest,family_influence_score,peer_influence_score,consultant_influence_score,university_ranking_importance,cost_sensitivity_score,safety_importance_score,risk_tolerance_score,decision_making_style,information_seeking_behavior,technology_comfort_level,social_network_size,adaptability_score,applications_submitted,acceptances_received,final_destination_country,final_university_tier,application_success_rate,decision_satisfaction_score,consultation_sessions,information_search_hours,application_preparation_time,decision_timeline_days,stress_level_score,confidence_level_score
249,Makayla,Nielsen,chamilton@example.com,235.803.1634x177,2005-10-11,Female,Nepal,Nepal,New Samantha,Korean,2.85,Master's,Economics,Private,1246,8,True,">$100,000",False,15324,23641,False,Family Savings,Finance,6,2,4,3,Government,"Switzerland,Singapore,Netherlands,Australia",8,7,8,4,4,2,7,3,6,3,7,6,Flexible,Multiple-Source,10,7,9,4,2,Singapore,Tier 2 (Top 100),50.0,6,8,181,330,57,4,10
250,Debra,Lee,cjones@example.org,(385)564-8557,2004-01-25,Male,Brazil,Brazil,North Jason,Korean,3.15,Master's,Architecture,Private,321,5,False,"$10,000-$25,000",False,35387,20675,True,Mixed Sources,Manufacturing,8,1,3,7,Academia,"Netherlands,Canada,Singapore",7,9,2,8,7,2,6,2,7,1,3,6,Collaborative,Multiple-Source,8,1,8,9,6,Singapore,Tier 4 (Below 200),66.7,9,13,23,185,465,5,2
251,Angela,Bishop,taylorrobert@example.com,(397)630-0811x21105,2006-02-27,Other,Bangladesh,Bangladesh,Lake Joshuafort,Italian,2.51,High School,Biotechnology,Public,325,2,True,"$75,000-$100,000",False,43500,9590,True,Educational Loan,Government,5,1,3,8,Government,Sweden,8,6,1,10,5,6,5,7,6,5,1,9,Flexible,Peer-Influenced,5,6,7,3,3,Sweden,Tier 1 (Top 50),100.0,9,6,86,355,66,10,2
252,Vanessa,Guerrero,jessicamacias@example.com,5048720915,1999-10-18,Female,Ghana,Ghana,Shannonmouth,French,2.87,Diploma,Engineering,Private,333,0,False,"<$10,000",False,39431,9254,True,Family Savings,Finance,10,2,7,3,Finance,"Switzerland,UK,France,Germany",7,7,1,3,5,5,2,7,2,4,10,5,Flexible,Family-Guided,1,6,10,10,3,Switzerland,Tier 4 (Below 200),30.0,3,13,121,170,220,5,9
253,Yesenia,Wright,michelle23@example.net,+1-468-975-8978x9759,1998-04-14,Female,Mexico,Mexico,Bowmanbury,French,2.65,High School,Mathematics,Private,1563,7,False,"<$10,000",False,62720,23094,True,Educational Loan,Entrepreneurship,7,10,10,10,Healthcare,"Switzerland,Netherlands,Sweden",9,1,6,6,10,6,6,8,3,8,8,4,Collaborative,Multiple-Source,5,7,1,12,1,Sweden,Tier 3 (Top 200),8.3,5,11,134,317,383,2,4
254,Brad,Schultz,sheppardwhitney@example.com,001-317-690-2128,1997-08-01,Female,Iran,Iran,Richardbury,Thai,3.12,High School,Pharmacy,Private,328,4,False,">$100,000",False,79859,15691,True,Mixed Sources,Education,9,3,3,7,Finance,"New Zealand,UK,Singapore,Netherlands",4,4,2,10,1,5,3,3,7,9,7,6,Decisive,Multiple-Source,10,5,6,8,1,Netherlands,Tier 2 (Top 100),12.5,7,11,185,354,681,6,9
255,Karen,Sandoval,whiteheadjudy@example.net,(726)224-4167x627,2001-12-07,Other,South Korea,South Korea,Sheilaland,German,3.48,Diploma,Environmental Science,Public,286,4,True,">$100,000",False,78848,21705,True,Educational Loan,Education,4,1,10,8,Government,"Canada,New Zealand",10,9,2,10,4,10,7,1,6,10,4,3,Pragmatic,Consultant-Dependent,6,1,10,9,8,Canada,Tier 4 (Below 200),88.9,4,9,59,112,498,6,4
256,Gloria,Lutz,ezamora@example.org,2942147780,1998-05-14,Other,South Korea,South Korea,Codychester,Spanish,3.98,Bachelor's,Electrical Engineering,Public,309,4,True,"$25,000-$50,000",True,31047,23145,True,Scholarship,Energy,2,1,7,6,Healthcare,Singapore,7,9,8,7,4,2,7,5,9,2,10,9,Analytical,Minimal Research,8,1,5,9,0,,,0.0,1,6,112,291,674,8,7
257,Amy,Lawrence,cmunoz@example.net,(411)990-0518x88710,2003-12-08,Female,Kenya,Kenya,Ericborough,Russian,2.65,Diploma,Marketing,Public,284,3,False,"$10,000-$25,000",False,37442,17676,True,Employer Sponsorship,Energy,8,6,1,5,Finance,"Japan,Germany,New Zealand,Singapore",10,1,3,3,9,9,5,1,4,6,10,6,Flexible,Self-Directed,3,10,5,10,7,New Zealand,Tier 4 (Below 200),70.0,5,11,85,109,161,3,10
258,Michael,Ellis,tbrown@example.com,203.685.1811x665,1999-01-03,Other,Turkey,Turkey,Munozshire,Hindi,3.22,Master's,Environmental Science,Private,302,8,True,"$75,000-$100,000",False,49297,20267,True,Government Funding,Education,8,3,10,9,Healthcare,"Canada,Sweden,Netherlands,USA",2,6,4,5,4,4,4,3,5,10,2,4,Cautious,Minimal Research,8,10,1,11,3,Canada,Tier 3 (Top 200),27.3,9,12,61,216,710,1,7
259,Vanessa,Chang,christinaallen@example.com,+1-997-951-7405x340,2004-12-04,Female,Ethiopia,Ethiopia,New Anna,English,2.84,Bachelor's,Electrical Engineering,International,291,6,True,"$25,000-$50,000",False,20987,14226,False,Mixed Sources,Energy,2,3,4,10,Academia,"USA,Australia,Singapore",4,10,10,8,8,8,2,9,1,6,2,4,Pragmatic,Consultant-Dependent,8,2,8,6,0,,,0.0,5,9,160,140,642,8,5
260,Connie,Jackson,ryanhill@example.com,8418642895,2002-12-25,Male,Iran,Iran,West Richardburgh,Vietnamese,3.4,High School,Nursing,Private,291,5,False,"$50,000-$75,000",False,77353,17818,True,Personal Savings,Research,9,4,5,10,Healthcare,"Germany,Singapore,Switzerland",9,5,8,2,10,3,8,1,6,9,8,8,Collaborative,Peer-Influenced,2,7,5,4,3,Germany,Tier 2 (Top 100),75.0,5,6,173,305,217,4,2
261,Sarah,Mcdonald,smartin@example.net,992.348.9212,2005-05-05,Other,Mexico,Mexico,South Allison,Korean,2.73,Master's,Data Science,Public,330,5,False,"$75,000-$100,000",True,36343,24923,False,Scholarship,Government,10,7,9,9,Healthcare,"Australia,Germany,Sweden",5,6,3,5,4,6,6,6,8,5,7,10,Optimistic,Multiple-Source,1,7,1,9,5,Australia,Tier 3 (Top 200),55.6,5,11,45,263,310,1,4
262,Jesse,Barrera,coxroger@example.org,(241)370-1727,1999-07-07,Other,South Korea,South Korea,East Joshua,German,3.78,Master's,Psychology,International,1324,8,False,">$100,000",False,76701,23396,False,Personal Savings,Technology,7,8,1,3,Technology,"Germany,New Zealand",10,7,1,2,6,1,6,5,9,6,8,5,Intuitive,Minimal Research,3,2,6,9,2,Germany,Tier 4 (Below 200),22.2,4,14,48,331,336,10,4
263,Jacqueline,Kent,lindsey23@example.net,001-675-699-3048x0703,2000-06-19,Female,Sri Lanka,Sri Lanka,Ginamouth,Turkish,2.78,High School,Psychology,Private,309,7,False,"$10,000-$25,000",False,31735,8758,True,Personal Savings,Finance,2,7,6,2,Healthcare,"Netherlands,Sweden,USA,Switzerland",1,9,6,1,10,10,7,1,9,6,9,8,Flexible,Technology-Assisted,2,2,10,4,4,Switzerland,Tier 2 (Top 100),100.0,2,13,38,302,192,9,2
264,Ashley,Sosa,lavery@example.com,(204)874-0289x8000,1999-10-31,Female,Thailand,Thailand,Anachester,Russian,3.67,Diploma,Computer Science,International,340,3,True,"$50,000-$75,000",False,15416,20777,False,Educational Loan,Technology,1,4,7,5,Healthcare,"Netherlands,Canada,Germany",4,10,6,9,4,8,4,10,6,10,3,4,Collaborative,Family-Guided,5,3,2,3,0,,,0.0,3,13,42,306,386,2,6
265,Antonio,Stafford,eturner@example.org,915-953-6883,2007-04-25,Female,Bangladesh,Bangladesh,Port Rickymouth,Persian,3.82,Diploma,Computer Science,Public,287,0,False,"$50,000-$75,000",True,39930,9612,False,Government Funding,Government,8,7,2,6,Finance,"Australia,Netherlands",10,2,2,3,5,9,10,9,2,3,4,2,Pragmatic,Technology-Assisted,6,7,4,6,0,,,0.0,1,13,139,214,519,5,9
266,Sandra,Blackburn,toddwoods@example.org,482.666.0698,2001-01-30,Male,Brazil,Brazil,Rebeccaton,French,2.84,Diploma,Marketing,Private,321,10,False,"<$10,000",False,62816,18592,False,Employer Sponsorship,Technology,3,4,6,1,Technology,"New Zealand,USA",3,9,3,3,6,8,1,1,10,4,5,6,Optimistic,Peer-Influenced,7,3,3,11,2,New Zealand,Tier 4 (Below 200),18.2,4,12,181,122,403,2,3
267,Barbara,Wolf,lewismatthew@example.net,283.908.9753,2000-05-12,Male,China,China,Popebury,Vietnamese,3.6,Bachelor's,Pharmacy,Public,1408,2,True,"$50,000-$75,000",True,25365,11280,True,Personal Savings,Technology,6,4,2,7,Finance,Netherlands,2,2,8,8,10,7,9,8,3,10,1,5,Pragmatic,Minimal Research,5,3,6,11,5,Netherlands,Tier 2 (Top 100),45.5,4,10,181,79,519,8,10
268,Michelle,Paul,ehenderson@example.org,(550)424-7748,2003-08-27,Male,Ethiopia,Ethiopia,North Benjaminside,Vietnamese,2.88,High School,Finance,Private,299,5,True,">$100,000",False,64800,12315,False,Scholarship,Consulting,7,6,8,9,Government,"New Zealand,USA",7,1,4,3,2,1,3,1,4,3,7,6,Analytical,Minimal Research,8,6,4,12,6,USA,Tier 1 (Top 50),50.0,5,8,64,262,666,5,9
269,Bailey,Ferguson,deborahrodriguez@example.net,469-534-4516x737,2001-09-15,Other,Thailand,Thailand,Jacobsstad,Bengali,2.89,Bachelor's,Pharmacy,Private,307,2,True,"$10,000-$25,000",True,29884,22989,True,Personal Savings,Legal,2,2,10,4,Healthcare,"Canada,France,Germany",8,7,9,2,9,9,3,7,9,4,3,4,Analytical,Family-Guided,6,9,10,5,4,Germany,Tier 2 (Top 100),80.0,9,14,145,298,78,9,6
270,Rachel,Hall,richardsalazar@example.com,8569370599,2001-03-19,Other,Sri Lanka,Sri Lanka,West Zacharymouth,Arabic,2.92,Diploma,Chemistry,Public,340,7,True,"$50,000-$75,000",False,73572,23615,False,Mixed Sources,Government,6,3,6,1,Technology,"USA,UK,Germany",9,5,4,10,9,10,2,1,7,3,3,8,Collaborative,Family-Guided,7,3,7,9,3,UK,Tier 1 (Top 50),33.3,10,4,99,66,261,5,3
271,Jamie,Diaz,fraziererik@example.com,(764)856-6382x38022,1999-06-16,Female,Pakistan,Pakistan,New Nicholasshire,Turkish,3.66,Diploma,Chemistry,International,294,4,False,"<$10,000",False,25071,10306,True,Family Savings,Real Estate,6,5,2,8,Healthcare,Netherlands,5,2,8,7,10,10,3,8,5,4,9,2,Intuitive,Technology-Assisted,4,8,7,9,0,,,0.0,3,11,36,173,312,5,9
272,Misty,Williams,hamptonchristine@example.org,(385)622-6668x59733,2003-12-04,Female,Egypt,Egypt,East Aaron,Japanese,3.15,Diploma,Pharmacy,Private,1599,10,False,"$75,000-$100,000",False,54755,20536,False,Educational Loan,Technology,10,2,5,8,Technology,New Zealand,2,2,4,6,6,10,10,7,7,1,6,8,Pragmatic,Extensive Research,7,7,1,6,4,New Zealand,Tier 1 (Top 50),66.7,8,3,16,352,366,2,5
273,Aaron,Smith,colemanmelissa@example.org,(651)932-2380x52096,1996-08-17,Female,Kenya,Kenya,East Marthaborough,Urdu,3.65,High School,Law,Public,1485,6,True,"$25,000-$50,000",True,70359,24378,True,Family Savings,Legal,2,6,2,10,Government,"New Zealand,Switzerland,Australia",6,5,2,2,5,7,6,10,8,3,7,4,Flexible,Minimal Research,6,6,8,8,2,Switzerland,Tier 3 (Top 200),25.0,9,3,92,38,144,4,10
274,Cory,Wang,stephenssuzanne@example.org,001-454-982-2822x3878,2001-10-14,Male,Philippines,Philippines,South Stacy,Korean,3.03,Bachelor's,Chemistry,Private,1397,6,False,"$75,000-$100,000",True,36222,15367,False,Educational Loan,Government,1,4,6,9,Finance,"Singapore,Germany",1,8,4,4,2,4,4,8,4,3,1,5,Decisive,Extensive Research,10,8,8,9,8,Germany,Tier 4 (Below 200),88.9,5,9,155,128,452,3,9
275,Mary,Brown,nicholas30@example.org,(587)324-6475,2005-07-08,Other,Mexico,Mexico,Thomasside,Japanese,3.79,Master's,Medicine,International,295,4,True,"$75,000-$100,000",False,50085,18272,False,Government Funding,Healthcare,10,4,3,7,Healthcare,"Japan,Singapore,Switzerland",4,8,5,10,8,1,8,10,8,8,10,7,Intuitive,Peer-Influenced,1,9,8,11,0,,,0.0,1,15,98,274,181,2,6
276,Jason,Solis,smithbruce@example.net,932-564-9022,1999-02-05,Female,Brazil,Brazil,West Julie,Korean,3.0,Diploma,Economics,Public,336,6,False,"$75,000-$100,000",False,71540,8222,False,Family Savings,Entrepreneurship,1,6,3,5,Government,UK,10,2,9,7,4,3,4,4,10,3,3,1,Pragmatic,Consultant-Dependent,6,2,2,9,6,UK,Tier 1 (Top 50),66.7,5,13,114,225,515,3,6
277,Kendra,Scott,cbrown@example.com,(472)227-8140x8355,2001-10-22,Male,Nigeria,Nigeria,East Brandon,Vietnamese,3.01,High School,Computer Science,Public,313,7,True,"$75,000-$100,000",True,79357,9938,True,Employer Sponsorship,Manufacturing,6,2,2,5,Finance,"USA,Switzerland",1,1,6,7,2,5,1,10,10,6,2,3,Decisive,Minimal Research,3,9,4,8,1,USA,Tier 4 (Below 200),12.5,3,14,184,109,644,6,10
278,Glenda,Welch,henry26@example.net,+1-559-505-3978x1328,1997-06-04,Female,Nepal,Nepal,South Lisahaven,Portuguese,3.39,Diploma,Biotechnology,Private,1251,10,False,"$75,000-$100,000",True,55186,19055,False,Government Funding,Government,9,7,7,2,Government,"UK,Singapore,Switzerland,Japan",6,4,6,3,1,4,8,4,7,1,6,1,Pragmatic,Consultant-Dependent,9,2,6,11,8,Switzerland,Tier 2 (Top 100),72.7,8,9,110,309,688,4,5
279,James,Ortega,schmittsergio@example.com,908-918-7149x6677,2005-09-15,Female,Mexico,Mexico,New Kristen,Italian,3.34,Diploma,Chemistry,Public,299,1,False,">$100,000",True,49573,9364,True,Educational Loan,Engineering,2,5,6,3,Government,"Singapore,France",1,9,1,1,4,5,7,4,6,9,1,7,Collaborative,Technology-Assisted,1,4,2,10,2,Singapore,Tier 1 (Top 50),20.0,1,15,66,193,104,4,8
280,Helen,Clayton,fcallahan@example.org,731-440-9524,2001-06-04,Female,China,China,South Natalie,Spanish,2.73,High School,Architecture,Private,319,3,True,">$100,000",False,28426,16933,False,Educational Loan,Education,1,7,3,9,Technology,"Netherlands,Germany,Australia,Sweden",5,10,1,7,8,1,8,3,4,2,2,2,Collaborative,Minimal Research,2,3,9,8,2,Australia,Tier 3 (Top 200),25.0,2,12,75,233,321,9,5
281,Sophia,Chen,gilberthayden@example.org,(341)441-4352x558,2005-10-14,Female,Pakistan,Pakistan,Bradleyshire,Persian,2.84,Bachelor's,Business Administration,Public,291,3,False,"$10,000-$25,000",False,55325,20153,True,Educational Loan,Government,3,8,9,6,Technology,Singapore,9,4,4,6,2,1,10,1,3,6,5,3,Cautious,Minimal Research,4,1,7,9,2,Singapore,Tier 4 (Below 200),22.2,1,5,139,62,260,3,4
282,Kimberly,Ochoa,john68@example.com,8309520035,2005-08-30,Other,Iran,Iran,South Darinmouth,French,3.28,Master's,Psychology,International,1568,2,False,"$25,000-$50,000",True,24403,11401,False,Educational Loan,Manufacturing,4,1,6,1,Government,"USA,New Zealand,Japan,Netherlands",10,2,4,1,5,10,9,2,1,8,10,7,Flexible,Multiple-Source,8,4,8,12,4,Japan,Tier 2 (Top 100),33.3,3,6,172,262,520,3,8
283,Daniel,Miller,theresa16@example.net,301-433-7421,2007-06-22,Male,South Korea,South Korea,Port Michael,Portuguese,3.12,Master's,Law,Public,334,5,True,"$10,000-$25,000",False,28638,21297,False,Employer Sponsorship,Education,7,8,7,3,Government,"Sweden,Netherlands,Japan,France",6,6,7,3,1,9,4,4,4,4,10,4,Cautious,Minimal Research,9,7,6,7,3,Japan,Tier 4 (Below 200),42.9,1,7,46,270,141,9,8
284,Jennifer,Conrad,adamsjacob@example.org,+1-667-783-3815x50452,2004-04-01,Other,Turkey,Turkey,Jennyfurt,Bengali,3.35,Master's,Law,Private,1581,4,True,"$75,000-$100,000",True,24875,21477,True,Educational Loan,Consulting,8,4,3,7,Technology,"Sweden,France",10,10,9,1,9,2,2,2,1,1,1,6,Intuitive,Technology-Assisted,6,4,3,6,2,France,Tier 4 (Below 200),33.3,6,14,26,215,668,6,10
285,Colleen,Deleon,ybell@example.org,(498)512-2239x689,2001-05-25,Other,Nepal,Nepal,Bakerstad,Korean,3.34,High School,Mathematics,International,324,7,True,"<$10,000",True,74584,22578,False,Educational Loan,Healthcare,1,3,6,5,Healthcare,"Sweden,Netherlands,Japan,Canada",1,10,6,8,9,10,10,3,8,1,8,10,Cautious,Technology-Assisted,2,6,2,5,1,Japan,Tier 3 (Top 200),20.0,2,10,86,231,183,2,4
286,Amy,Rios,diazdylan@example.net,(328)735-7971,1998-11-11,Female,India,India,North Amanda,Portuguese,3.23,Master's,Chemistry,Private,283,4,False,"$25,000-$50,000",False,43373,19059,True,Government Funding,Technology,5,8,2,6,Academia,France,9,1,3,10,2,1,10,1,5,7,4,8,Optimistic,Multiple-Source,1,5,7,8,5,France,Tier 3 (Top 200),62.5,9,13,141,247,446,6,3
287,Alan,Gonzalez,joshua72@example.com,8987186425,2004-12-09,Male,Pakistan,Pakistan,Aguilarview,Portuguese,2.86,Master's,Environmental Science,International,1233,7,True,"$10,000-$25,000",True,71602,10471,False,Scholarship,Technology,1,6,10,1,Government,Canada,10,8,6,2,3,10,2,1,3,4,2,3,Intuitive,Consultant-Dependent,1,7,4,6,0,,,0.0,4,12,30,228,358,9,4
288,Elizabeth,Watts,hwilson@example.org,426-597-4298,2006-10-20,Other,Nigeria,Nigeria,Hayesfurt,English,2.76,Master's,Medicine,International,1273,10,True,">$100,000",True,27333,14129,False,Employer Sponsorship,Legal,6,4,6,10,Technology,"Netherlands,Singapore",10,5,10,7,10,9,5,4,7,5,6,4,Analytical,Self-Directed,5,3,2,3,0,,,0.0,4,8,98,60,664,7,2
289,Parker,Haley,john10@example.org,(690)849-7694x7481,2001-09-04,Female,South Korea,South Korea,South Marcstad,English,3.04,Diploma,Chemistry,Private,303,7,True,"$50,000-$75,000",False,50777,14235,False,Scholarship,Engineering,10,3,4,1,Government,Japan,6,7,8,8,7,6,7,8,8,8,3,3,Optimistic,Multiple-Source,1,3,6,9,2,Japan,Tier 2 (Top 100),22.2,2,7,103,37,474,3,3
290,James,Fowler,williamhall@example.com,302-361-3390x54506,2002-08-16,Male,Philippines,Philippines,Melvinberg,English,2.92,Diploma,Architecture,Private,1510,5,False,"$50,000-$75,000",True,46938,9958,True,Educational Loan,Consulting,2,2,6,4,Finance,"Japan,Sweden,New Zealand",5,3,4,9,8,8,4,7,8,1,5,3,Cautious,Self-Directed,10,7,10,4,4,Sweden,Tier 4 (Below 200),100.0,2,3,145,174,379,6,3
291,Amy,Taylor,bmitchell@example.com,001-517-736-6741,1998-10-04,Female,Mexico,Mexico,Annview,Dutch,3.37,Master's,Psychology,Private,292,8,True,">$100,000",True,61406,15766,False,Scholarship,Legal,4,8,8,6,Academia,"USA,France,Switzerland,UK",7,3,10,6,9,2,9,8,8,10,5,2,Pragmatic,Multiple-Source,4,5,3,8,0,,,0.0,3,8,73,144,678,1,6
292,Katherine,Garcia,ibrown@example.net,+1-683-469-9465x7702,1997-02-18,Male,Sri Lanka,Sri Lanka,Whitefort,English,3.94,High School,Engineering,Public,287,0,False,">$100,000",True,49308,24519,False,Scholarship,Research,4,7,3,6,Government,"Japan,USA,Germany,New Zealand",4,3,5,1,9,1,7,2,6,8,3,8,Optimistic,Peer-Influenced,10,8,6,4,2,USA,Tier 2 (Top 100),50.0,6,8,80,131,651,8,5
293,Linda,Johnson,spencemelissa@example.net,491-564-9254,1996-12-14,Male,Iran,Iran,North Elaineberg,Portuguese,3.47,Bachelor's,Chemistry,Private,300,2,True,"$25,000-$50,000",True,72885,24767,False,Educational Loan,Technology,3,8,4,1,Academia,UK,3,3,2,9,1,3,4,2,6,6,6,2,Optimistic,Technology-Assisted,2,8,7,11,0,,,0.0,1,9,116,358,435,3,9
294,Glenn,Chavez,umoore@example.org,001-221-240-9099x313,1996-12-03,Male,Ethiopia,Ethiopia,South Karen,Italian,3.22,Master's,Economics,Public,1588,3,False,"$10,000-$25,000",False,36164,20698,False,Educational Loan,Media,7,1,6,5,Government,"Sweden,USA,Netherlands",9,2,1,4,2,10,1,4,4,10,8,1,Cautious,Consultant-Dependent,10,6,9,5,3,USA,Tier 3 (Top 200),60.0,9,4,48,304,37,10,5
295,Rebekah,Williams,acunningham@example.org,(526)518-1773x214,2002-11-05,Other,South Korea,South Korea,Kristieshire,Urdu,2.54,Diploma,Biotechnology,International,321,4,True,"$10,000-$25,000",True,17730,20696,True,Employer Sponsorship,Media,2,4,2,1,Technology,"New Zealand,Germany",4,10,5,6,10,8,1,4,10,5,4,9,Analytical,Self-Directed,1,4,3,8,3,New Zealand,Tier 4 (Below 200),37.5,8,8,194,228,365,8,7
296,Matthew,Kidd,rsims@example.net,001-264-290-3097x18339,2006-07-29,Male,Kenya,Kenya,Port Derek,Hindi,3.9,Master's,Medicine,Private,304,10,False,"<$10,000",False,29110,14251,True,Family Savings,Education,6,2,8,7,Government,"Netherlands,Singapore,USA",5,1,2,5,7,3,5,8,4,2,1,8,Collaborative,Extensive Research,2,2,4,10,8,USA,Tier 2 (Top 100),80.0,4,5,79,41,606,8,2
297,Lindsay,Dunn,moonchristina@example.org,423-515-4506,2006-10-18,Male,Egypt,Egypt,New Briannaville,Italian,3.85,High School,Chemistry,Private,329,7,False,">$100,000",False,28284,16758,False,Educational Loan,Technology,5,4,8,9,Government,"Japan,Sweden",1,1,10,7,6,9,8,4,1,5,6,2,Cautious,Minimal Research,8,9,3,8,5,Sweden,Tier 2 (Top 100),62.5,10,12,151,306,179,6,6
298,Gail,Brown,lucerojessica@example.org,(757)791-1664x7078,2005-12-21,Female,Ghana,Ghana,Kristinamouth,Italian,2.88,Diploma,Finance,Public,1383,9,False,"$75,000-$100,000",True,73310,9401,False,Personal Savings,Consulting,9,3,2,4,Government,"Switzerland,Singapore,Canada",10,3,4,7,3,2,7,2,9,9,1,9,Intuitive,Extensive Research,5,9,3,6,5,Canada,Tier 4 (Below 200),83.3,9,12,95,280,149,6,6
299,Philip,Taylor,hernandeztodd@example.net,(618)567-9526x489,2004-01-28,Other,India,India,New Stevenchester,French,3.84,Bachelor's,Marketing,Private,331,9,False,"$10,000-$25,000",True,60543,18045,True,Personal Savings,Engineering,7,5,8,1,Government,"Switzerland,Singapore",2,4,1,1,6,1,5,2,4,3,2,2,Flexible,Minimal Research,2,7,6,9,0,,,0.0,2,12,162,183,381,7,6
300,Kimberly,Anderson,michael03@example.com,807.966.2912x879,2006-11-02,Female,Kenya,Kenya,Lake James,Bengali,3.55,Bachelor's,Architecture,Private,304,4,False,">$100,000",False,77201,24066,True,Scholarship,Technology,7,1,10,2,Academia,"UK,Sweden,Germany,Switzerland",2,2,4,2,8,8,7,6,4,10,8,1,Cautious,Self-Directed,9,8,4,12,6,Switzerland,Tier 1 (Top 50),50.0,9,2,12,95,637,1,9
301,Gregory,Rodriguez,juliaoliver@example.net,001-663-838-0270x43829,2000-01-17,Male,Brazil,Brazil,North Steven,Urdu,3.78,High School,Architecture,Public,1507,6,False,"<$10,000",True,78475,10517,True,Scholarship,Engineering,8,8,7,9,Government,"USA,Netherlands",3,7,1,5,2,3,4,6,10,8,4,8,Intuitive,Consultant-Dependent,3,3,3,12,0,,,0.0,3,8,137,217,470,1,9
302,Jared,Bennett,denisebird@example.net,+1-471-526-2050x113,2005-12-31,Male,Kenya,Kenya,Mcguirebury,Japanese,3.82,Diploma,Nursing,International,310,8,True,"$10,000-$25,000",True,22930,8790,False,Mixed Sources,Finance,2,10,3,6,Healthcare,"Singapore,Australia",8,9,6,9,8,5,8,2,3,10,7,2,Analytical,Family-Guided,4,3,5,5,5,Singapore,Tier 1 (Top 50),100.0,9,12,110,35,410,1,9
303,Sara,Hill,bobby76@example.com,271.237.6182x1189,2004-02-12,Male,Indonesia,Indonesia,Campbellmouth,Vietnamese,3.22,Diploma,Pharmacy,Private,1288,10,True,">$100,000",True,24575,12160,True,Employer Sponsorship,Legal,9,3,9,5,Government,Sweden,9,2,10,3,2,4,7,6,4,5,7,1,Optimistic,Extensive Research,6,7,1,6,5,Sweden,Tier 4 (Below 200),83.3,10,12,105,230,490,10,4
304,Kevin,Noble,angelicajensen@example.org,(849)544-4378x92905,1997-11-23,Female,India,India,Allenville,Russian,3.13,Master's,Engineering,International,325,3,False,"$25,000-$50,000",False,40773,17202,False,Educational Loan,Government,6,5,6,9,Government,"Germany,Sweden,Switzerland",8,7,10,9,5,10,10,10,3,8,6,2,Pragmatic,Technology-Assisted,9,9,10,4,2,Germany,Tier 3 (Top 200),50.0,6,11,78,168,325,10,9
305,Marie,Evans,rtownsend@example.org,(625)609-0799,1998-01-22,Female,Iran,Iran,Davisborough,Persian,3.5,Master's,Chemistry,International,1513,9,False,"$10,000-$25,000",False,61702,18523,False,Educational Loan,Engineering,8,10,5,1,Government,"UK,Germany",4,4,10,6,8,3,8,6,4,7,8,5,Pragmatic,Technology-Assisted,3,5,10,4,2,UK,Tier 3 (Top 200),50.0,8,2,106,311,432,1,2
306,Diana,Melendez,veronicamitchell@example.com,+1-515-841-9621x820,2005-12-20,Other,Indonesia,Indonesia,West Brianside,Bengali,3.16,Master's,Medicine,Private,288,3,True,"$25,000-$50,000",True,17689,10302,True,Family Savings,Research,2,9,10,10,Finance,"Canada,UK,Netherlands",4,1,10,1,8,1,2,6,10,5,5,7,Decisive,Family-Guided,4,10,10,12,4,Netherlands,Tier 3 (Top 200),33.3,4,15,151,211,272,3,1
307,Robert,Graves,uhull@example.net,001-477-925-9461x748,2005-12-08,Male,Ethiopia,Ethiopia,Jasonmouth,Korean,3.77,Master's,Data Science,Public,1435,1,False,"$10,000-$25,000",False,22037,8103,True,Mixed Sources,Engineering,5,7,7,4,Healthcare,"Sweden,Australia,Singapore,UK",2,7,8,8,6,3,7,10,7,1,9,5,Decisive,Minimal Research,7,9,6,8,0,,,0.0,2,8,139,345,427,8,10
308,Richard,Contreras,schmidtalyssa@example.com,001-440-646-4269x0410,2001-05-05,Female,Kenya,Kenya,South Allisonland,Korean,2.87,Diploma,Electrical Engineering,Public,1318,3,True,"$50,000-$75,000",True,59989,15997,True,Family Savings,Manufacturing,2,8,10,9,Technology,Netherlands,10,6,6,7,5,1,8,7,8,7,2,7,Flexible,Technology-Assisted,4,5,6,7,7,Netherlands,Tier 1 (Top 50),100.0,7,3,53,142,629,9,10
309,Brian,Padilla,jennifervalencia@example.net,406.924.8378,1999-04-08,Male,Kenya,Kenya,Gregoryshire,German,3.18,High School,Data Science,Public,1423,4,True,"$10,000-$25,000",False,35420,13460,True,Government Funding,Non-profit,2,4,3,3,Technology,New Zealand,1,10,3,5,8,9,8,7,3,4,1,4,Intuitive,Consultant-Dependent,2,5,3,11,1,New Zealand,Tier 2 (Top 100),9.1,1,13,128,313,407,3,3
